School Name,N Tested,Reading Average,Math Average,Writing Average,Composite Average,12,Total
Avon Grove HS,358,531,541,513,1585,449,1812
Central York HS,315,514,512,486,1513,448,1836
Hempfield Area SHS,291,504,519,496,1519,458,1855
Dallastown Area SHS,290,519,512,494,1525,426,1910
Freedom HS,292,501,498,483,1483,501,1914
Wilson HS,347,511,518,486,1515,475,1937
Council Rock HS South,439,547,565,544,1656,556,2098
Coatesville Area SHS,302,464,458,432,1354,488,2103
Chambersburg Area SHS,284,485,476,461,1422,537,2142
Souderton Area SHS,378,540,550,519,1609,520,2228
Hempfield SHS,383,535,556,505,1595,557,2256
State College Area HS,491,557,575,530,1662,568,2289
McDowell HS,355,507,512,484,1503,540,2320
Seneca Valley HS,434,527,543,511,1580,574,2338
Pennridge HS,399,513,527,493,1533,555,2352
Pennsylvania Virtual CS,73,534,487,494,1516,176,2365
Spring-Ford SHS 9-12 Ctr,419,536,560,526,1621,556,2384
Pennsylvania Leadership CS,113,566,542,528,1636,290,2419
Neshaminy HS,454,508,528,490,1527,631,2506
Cumberland Valley HS,464,536,562,516,1614,630,2602
Emmaus HS,389,554,544,534,1632,617,2626
William Allen HS,204,436,423,413,1272,515,2637
McCaskey Campus,245,425,436,407,1268,511,2647
Collegium CS,52,490,457,471,1417,61,2664
Easton Area HS,383,493,484,464,1441,635,2671
North Allegheny HS,596,574,588,559,1722,681,2693
Liberty HS,315,507,505,481,1494,653,2757
North Penn SHS,751,540,564,525,1630,987,2987
Northeast HS,359,415,455,401,1271,515,3127
Reading SHS,377,405,402,373,1180,994,3165
Parkland HS,572,545,551,534,1630,771,3179
Pennsbury HS,564,539,542,529,1610,800,3210
Hazleton Area HS,421,452,451,436,1339,829,3316
Upper Darby SHS,558,451,464,432,1346,927,3652
Agora Cyber CS,179,473,430,426,1329,1039,8536
Pennsylvania Cyber CS,225,514,485,486,1485,1288,9173
